ID	LK_1	LK_2	LK_3	LK_4	LK_5	LM_1	LM_2	LM_3	LM_4	LM_5	RK_1	RK_2	RK_3	RK_4	RK_5	RM_1	RM_2	RM_3	RM_4	RM_5
ASV_1	0	0	0	0	0	0	0	0	0	0	0	8	20	7	0	0	0	0	2	7
ASV_2	15	0	0	3	0	0	0	0	0	0	1	0	3	0	0	0	5	0	0	4
ASV_3	0	0	19	0	15	0	0	0	0	0	0	0	0	0	0	4	1	0	5	0
ASV_4	4	0	0	0	0	0	12	13	0	0	14	4	13	5	25	5	0	14	3	5
ASV_5	0	0	9	0	3	0	0	0	7	6	3	0	0	0	4	4	3	0	5	2
ASV_6	5	0	0	0	0	0	0	6	0	0	8	3	0	3	8	9	0	9	0	10
ASV_7	0	11	0	2	7	0	0	0	0	0	12	19	21	16	2	6	8	8	5	18
ASV_8	86	69	119	74	55	29	29	55	48	42	25	14	14	9	15	6	4	6	0	4
ASV_9	35	46	39	0	35	0	28	49	38	0	26	21	27	33	0	0	0	0	0	17
ASV_10	36	81	44	130	194	114	241	398	912	2824	0	0	0	6	0	0	0	0	0	0
ASV_11	3	16	0	0	13	0	3	0	6	6	0	0	0	0	2	0	1	0	1	0
ASV_12	7	12	0	0	2	22	9	13	12	0	12	6	10	20	17	12	15	15	17	15
ASV_13	27	34	20	31	18	0	17	14	0	6	6	5	4	0	3	5	9	5	3	6
ASV_14	0	0	12	0	6	0	0	10	5	0	11	5	14	12	18	11	6	7	6	7
ASV_15	28	0	15	12	0	0	15	0	13	0	5	6	7	0	0	0	3	0	0	0
ASV_16	0	0	0	0	0	0	0	0	0	0	0	20	10	0	0	0	0	0	0	10
ASV_17	0	0	0	0	7	0	0	1	0	0	4	1	11	15	0	0	4	0	0	0
ASV_18	6	8	0	4	10	0	10	13	5	0	4	5	5	1	3	2	3	0	5	7
ASV_19	0	0	7	0	0	0	18	0	0	0	15	13	0	0	0	27	0	19	15	37
ASV_20	12	10	19	27	19	0	0	13	0	0	7	0	0	0	0	13	9	12	0	9
ASV_21	0	0	0	0	0	0	0	5	0	0	0	4	8	0	0	0	8	6	0	0
ASV_22	21	0	0	0	0	35	0	0	0	0	8	0	0	13	0	20	10	0	0	0
ASV_23	29	45	27	96	48	49	18	15	21	7	13	7	0	8	5	14	3	3	6	6
ASV_24	0	0	0	0	0	0	0	0	0	0	0	5	0	3	7	4	0	0	7	3
ASV_25	5	0	0	3	7	0	0	5	0	4	17	10	5	5	13	8	8	7	11	15
ASV_26	2	28	46	16	22	0	0	0	5	0	11	5	4	6	3	18	14	10	18	13
ASV_27	0	11	7	25	18	21	0	26	6	0	21	17	17	15	2	0	0	0	0	1
