ASV_ID	LK_1	LK_2	LK_3	LK_4	LK_5	LM_1	LM_2	LM_3	LM_4	LM_5	RK_1	RK_2	RK_3	RK_4	RK_5	RM_1	RM_2	RM_3	RM_4	RM_5
d__Bacteria;p__Proteobacteria	8065	9259	8441	10063	9764	8215	9840	12709	13903	12770	7449	7342	7361	7205	7377	8737	8771	8921	8531	7251
d__Bacteria;p__Chloroflexi	4161	2494	3691	2857	2627	4970	2553	2994	3088	2170	3944	4231	3872	5113	4225	3472	3914	2717	3625	4415
d__Bacteria;p__Actinobacteriota	1245	1112	1830	932	1583	1201	1075	947	1161	1166	302	592	435	564	824	558	603	421	525	502
d__Bacteria;p__Verrucomicrobiota	981	1181	1259	1523	546	934	576	867	742	538	795	624	613	581	831	530	554	656	484	491
d__Bacteria;p__Latescibacterota	355	289	301	313	264	358	298	316	260	199	687	633	653	688	575	480	695	575	583	660
d__Bacteria;p__Bacteroidota	2405	3354	2523	3745	3296	2080	1368	1891	1635	1234	2718	2592	2462	1992	2239	3253	2894	3320	3037	3201
d__Bacteria;p__Desulfobacterota	2999	3134	2767	2879	2950	2427	2632	2427	2410	1865	2279	2426	2195	1975	2125	2000	1835	2044	1949	1689
d__Bacteria;p__Methylomirabilota	279	378	397	325	297	229	383	303	250	166	308	358	348	320	285	228	345	129	228	327
d__Bacteria;p__Myxococcota	971	900	886	874	803	977	669	642	581	588	1418	1229	1853	860	1224	657	668	758	770	871
d__Bacteria;p__Bdellovibrionota	24	24	14	30	19	85	13	16	14	37	38	39	58	28	33	87	72	99	70	48
d__Bacteria;p__Armatimonadota	86	42	35	43	41	132	47	75	45	32	291	252	157	317	217	299	250	207	244	301
d__Bacteria;p__Acidobacteriota	3079	2992	3486	2444	3068	3188	2581	2352	2304	1654	3504	3761	3438	3790	3671	3848	3883	3455	3766	4096
d__Bacteria;p__Cyanobacteria	843	928	795	1027	1271	698	253	651	386	650	252	331	342	295	348	202	186	444	314	170
d__Bacteria;p__Planctomycetota	181	135	209	158	95	285	103	141	165	98	374	225	377	411	385	222	339	266	267	374
d__Bacteria;p__Patescibacteria	74	73	43	44	59	113	39	88	79	29	233	142	170	204	194	294	205	356	301	263
d__Bacteria;p__Zixibacteria	63	95	65	68	71	87	70	76	87	34	118	119	110	112	88	81	101	124	107	106
d__Bacteria;p__Gemmatimonadota	823	751	714	676	882	789	704	778	665	599	1423	1468	1601	1598	1714	1370	1476	1322	1305	1643
d__Bacteria;p__RCP2-54	81	65	47	59	77	74	96	106	77	26	104	116	96	120	95	107	108	83	95	113
d__Bacteria;p__Firmicutes	1819	1719	1641	1462	1349	1587	2084	1897	1397	6083	384	482	455	275	521	569	578	606	608	398
d__Bacteria;p__Nitrospirota	1182	1181	1189	860	1069	1306	1172	968	949	718	2198	2034	2174	2282	2288	2123	1660	2366	2202	1985
d__Bacteria;p__Poribacteria	0	0	0	5	0	0	0	0	11	0	6	0	7	5	4	9	18	8	13	14
d__Bacteria;p__MBNT15	563	434	446	353	554	657	755	569	544	434	1003	1044	1070	1405	1040	911	1021	1022	1143	1142
d__Bacteria;p__Dependentiae	0	21	0	7	19	0	16	16	0	1	5	4	8	29	0	14	13	25	6	11
d__Bacteria;p__Spirochaetota	307	183	110	190	183	269	138	115	149	112	463	380	583	232	322	235	207	371	218	264
d__Bacteria;p__Sva0485	478	325	248	291	251	476	345	278	309	218	420	418	420	489	361	364	394	316	392	365
d__Bacteria;p__NB1-j	181	122	143	146	102	84	123	100	122	93	199	165	130	82	154	99	41	62	64	179
d__Bacteria;p__SAR324_clade(Marine_group_B)	6	3	0	13	9	7	0	7	25	0	3	13	6	2	0	7	0	1	8	4
d__Bacteria;p__TA06	137	69	120	89	95	87	55	64	70	37	176	157	164	139	163	251	224	249	221	223
d__Bacteria;p__Fibrobacterota	60	48	73	33	12	102	31	39	21	22	46	23	79	37	36	21	25	35	23	21
d__Bacteria;p__Caldisericota	0	2	0	0	4	0	0	0	0	4	9	13	11	20	6	9	26	28	8	10
d__Bacteria;p__WS2	25	23	21	6	36	12	23	15	10	14	66	41	36	50	60	99	92	62	91	79
d__Bacteria;p__Nitrospinota	249	236	224	176	189	185	283	172	185	109	241	247	200	247	199	336	295	332	316	346
d__Bacteria;p__Hydrogenedentes	0	0	17	0	1	23	9	2	3	0	16	18	9	14	5	39	19	28	13	26
d__Bacteria;p__NKB15	7	0	3	3	20	9	13	12	14	14	6	31	0	18	23	46	25	57	40	29
d__Bacteria;p__Campilobacterota	1	10	0	0	7	0	23	0	2	11	24	41	15	17	13	17	21	50	42	11
d__Bacteria;p__Deinococcota	6	37	14	19	49	30	3328	70	20	10	0	2	1	4	4	14	5	1	0	3
d__Bacteria;p__Deferrisomatota	58	71	20	54	44	33	41	62	65	64	106	69	79	87	71	27	70	51	51	40
d__Bacteria;p__Dadabacteria	2	0	0	0	0	13	3	4	0	0	0	0	1	0	5	4	0	7	4	1
d__Bacteria;p__Modulibacteria	26	58	20	45	50	15	4	26	38	19	26	21	33	5	8	10	8	19	5	4
d__Bacteria;p__WOR-1	0	3	6	6	9	0	8	2	15	12	10	2	10	2	18	0	0	10	8	0
d__Bacteria;p__LCP-89	12	10	15	4	15	13	4	9	6	0	7	10	18	13	5	10	12	6	8	8
d__Bacteria;p__Sumerlaeota	16	23	18	2	11	0	22	20	15	57	40	35	27	69	26	36	44	30	26	42
d__Bacteria;p__Elusimicrobiota	0	0	8	3	0	0	0	6	3	6	5	0	4	0	0	0	0	0	0	0
d__Bacteria;p__Fusobacteriota	3	11	5	9	8	0	4	5	9	0	3	2	2	3	10	2	3	25	11	2
d__Bacteria;p__GAL15	2	0	0	0	0	0	0	10	0	0	0	7	5	0	0	0	15	11	0	5
d__Bacteria;p__WS4	0	4	0	0	5	0	0	0	0	0	7	19	24	12	15	26	10	24	21	28
